Invalid HTTP_HOST header: '39.108.148.171:8000'. You may need to add '39.108.148.171' to ALLOWED_HOSTS.
Bad Request: /
[04/Aug/2020 09:06:57] "GET / HTTP/1.1" 400 59503
Performing system checks...

System check identified no issues (0 silenced).

You have 15 unapplied migration(s). Your project may not work properly until you apply the migrations for app(s): admin, auth, contenttypes, sessions.
Run 'python manage.py migrate' to apply them.
August 04, 2020 - 09:05:37
Django version 2.1.3, using settings 'Hostojgrade.settings'
Starting development server at http://0.0.0.0:8080/
Quit the server with CONTROL-C.
Performing system checks...

System check identified no issues (0 silenced).
August 04, 2020 - 09:06:51
Django version 2.1.3, using settings 'Hostojgrade.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CONTROL-C.
[04/Aug/2020 09:07:34] "GET / HTTP/1.1" 200 5435
[04/Aug/2020 09:07:34] "GET /static/css/animate.min.css HTTP/1.1" 200 53436
[04/Aug/2020 09:07:34] "GET /static/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21987
[04/Aug/2020 09:07:34] "GET /static/css/style.css HTTP/1.1" 200 16596
[04/Aug/2020 09:07:34] "GET /static/js/pace.min.js HTTP/1.1" 200 12332
[04/Aug/2020 09:07:35] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 35607
[04/Aug/2020 09:07:35] "GET /static/js/classie.js HTTP/1.1" 200 2214
[04/Aug/2020 09:07:35] "GET /static/js/jquery-2.1.1.js HTTP/1.1" 200 84247
[04/Aug/2020 09:07:35] "GET /static/js/cbpAnimatedHeader.js HTTP/1.1" 200 1073
[04/Aug/2020 09:07:35] "GET /static/js/wow.min.js HTTP/1.1" 200 7084
[04/Aug/2020 09:07:35] "GET /static/js/inspinia.js HTTP/1.1" 200 821
[04/Aug/2020 09:07:35] "GET /static/js/app.js HTTP/1.1" 200 3703
[04/Aug/2020 09:07:35] "GET /static/css/fonts.useso.com/css?family=Open+Sans:300,400,600&subset=latin,latin-ext HTTP/1.1" 404 1754
[04/Aug/2020 09:07:35] "GET /static/js/particles.min.js HTTP/1.1" 200 23364
[04/Aug/2020 09:07:36] "GET /static/img/perspective.png HTTP/1.1" 200 148804
[04/Aug/2020 09:07:36] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 113502
[04/Aug/2020 09:07:37] "GET /static/img/word_map.png HTTP/1.1" 200 35386
[04/Aug/2020 09:07:38] "GET /static/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
[04/Aug/2020 09:09:04] "GET / HTTP/1.1" 200 5435
[04/Aug/2020 09:09:05] "GET /static/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/img/perspective.png HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/css/style.css HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/css/animate.min.css HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/js/classie.js HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/js/jquery-2.1.1.js HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/js/pace.min.js HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/js/cbpAnimatedHeader.js HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/js/inspinia.js HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/js/wow.min.js HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/js/particles.min.js HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/js/app.js HTTP/1.1" 304 0
[04/Aug/2020 09:09:05] "GET /static/css/fonts.useso.com/css?family=Open+Sans:300,400,600&subset=latin,latin-ext HTTP/1.1" 404 1754
[04/Aug/2020 09:09:05] "GET /static/img/word_map.png HTTP/1.1" 304 0
